Jugador,Mín,Goles_Anotados_S,Tiros_Penales_Intentados_S,xG,npxG,ACG,Regates_intentados_S,Distancia_de_paso_progresiva_P,Cruce_en_el_área_de_penalización_P,Pases_progresivos_P,Pases_Largos_PT,Saques_de_esquina_hacia_adentro_PT,Pases_intentados_Cortos_P,Pases_intentados_Medios_P,Pases_intentados_Largos_P,Intercepciones_D,Barridas_en_la_defensa_D,Robos_intentados_PO,Distancia_de_traslado_progresivo_PO,Robos_intentados_PO,Penal_ejecutado_M,Posicion_adelantada_M
Aaron Cresswell,2165,0,0,0.1,0.1,1.0,7.0,8318.0,15.0,142.0,1.0,3.0,646.0,474.0,201.0,27,12.0,7.0,1667.0,7.0,0.0,1
Aaron Hickey,1847,0,0,0.2,0.2,2.0,44.0,3240.0,4.0,80.0,2.0,0.0,404.0,302.0,78.0,17,27.0,44.0,1764.0,44.0,0.0,1
Aaron Wan-Bissaka,1345,0,0,1.2000000000000002,1.2000000000000002,1.0,34.0,3043.0,2.0,53.0,2.0,0.0,450.0,224.0,41.0,21,19.0,34.0,1297.0,34.0,0.0,0
Abdul Mumin,742,0,0,0.30000000000000004,0.30000000000000004,0.0,9.0,1728.0,1.0,17.0,0.0,0.0,76.0,179.0,84.0,8,4.0,9.0,610.0,9.0,0.0,0
Abner,517,0,0,1.7000000000000002,1.7000000000000002,1.0,9.0,1437.0,1.0,14.0,0.0,0.0,129.0,105.0,33.0,8,9.0,9.0,380.0,9.0,0.0,0
Adam Armstrong,1307,1,0,1.8,1.8,1.0,41.0,577.0,2.0,16.0,0.0,0.0,145.0,88.0,23.0,4,6.0,41.0,957.0,41.0,0.0,2
Adam Forshaw,328,0,0,0.0,0.0,0.0,8.0,641.0,0.0,20.0,0.0,1.0,60.0,36.0,27.0,3,3.0,8.0,189.0,8.0,0.0,0
Adam Lallana,722,2,0,1.1,1.1,2.0,6.0,656.0,1.0,33.0,0.0,0.0,194.0,74.0,9.0,2,6.0,6.0,420.0,6.0,0.0,0
Adam Smith,2861,0,0,0.6,0.6,2.0,30.0,6632.0,18.0,81.0,0.0,0.0,496.0,486.0,185.0,25,26.0,30.0,1321.0,30.0,0.0,0
Adam Webster,1921,0,0,1.7,1.7,1.0,8.0,9917.0,1.0,117.0,0.0,0.0,593.0,863.0,175.0,19,9.0,8.0,3696.0,8.0,0.0,0
Aihen Muñoz,1576,0,0,0.1,0.1,2.0,38.0,4757.0,10.0,48.0,0.0,0.0,381.0,363.0,120.0,7,16.0,38.0,1259.0,38.0,0.0,0
Aimar Oroz,1746,3,1,3.5,2.7,9.0,53.0,1884.0,0.0,73.0,4.0,1.0,394.0,213.0,42.0,20,6.0,53.0,1133.0,53.0,0.0,2
Ainsley Maitland-Niles,1407,0,0,0.0,0.0,2.0,22.0,3245.0,5.0,57.0,2.0,0.0,331.0,258.0,84.0,22,23.0,22.0,885.0,22.0,1.0,0
Aitor Paredes,599,0,0,0.4,0.4,0.0,1.0,2121.0,0.0,26.0,0.0,0.0,107.0,188.0,64.0,13,3.0,1.0,552.0,1.0,0.0,0
Aitor Ruibal,1323,0,0,0.8,0.8,1.0,62.0,3374.0,5.0,55.0,1.0,0.0,356.0,252.0,95.0,22,31.0,62.0,1671.0,62.0,0.0,2
Albert Sambi Lokonga,734,0,0,0.2,0.2,0.0,7.0,1619.0,0.0,32.0,3.0,0.0,186.0,164.0,40.0,12,7.0,7.0,513.0,7.0,0.0,0
Alberto Moreno,1144,0,0,0.6000000000000001,0.6000000000000001,2.0,11.0,2282.0,5.0,36.0,1.0,3.0,286.0,248.0,48.0,21,6.0,11.0,1148.0,11.0,0.0,3
Aleix Vidal,982,0,0,0.1,0.1,3.0,18.0,1165.0,3.0,23.0,1.0,0.0,164.0,111.0,46.0,14,6.0,18.0,390.0,18.0,0.0,1
Alejandro Balde,2365,1,0,1.7000000000000002,1.7000000000000002,8.0,92.0,4197.0,16.0,76.0,0.0,0.0,909.0,516.0,103.0,12,21.0,92.0,3881.0,92.0,0.0,5
Alejandro Garnacho,482,3,0,2.1,2.1,5.0,40.0,186.0,0.0,8.0,0.0,0.0,110.0,24.0,4.0,4,0.0,40.0,815.0,40.0,0.0,3
Alex Iwobi,3288,2,0,2.2,2.2,9.0,108.0,6443.0,16.0,191.0,14.0,14.0,637.0,544.0,214.0,25,37.0,108.0,3300.0,108.0,1.0,4
Alex Oxlade-Chamberlain,335,1,0,1.2000000000000002,1.2000000000000002,0.0,14.0,347.0,0.0,14.0,2.0,0.0,45.0,34.0,14.0,1,1.0,14.0,258.0,14.0,0.0,1
Alex Telles,1292,0,0,0.30000000000000004,0.30000000000000004,4.0,25.0,3122.0,13.0,37.0,1.0,7.0,282.0,231.0,119.0,18,13.0,25.0,844.0,25.0,1.0,1
Alexander Callens,83,0,0,0.0,0.0,0.0,0.0,335.0,0.0,6.0,0.0,0.0,27.0,31.0,1.0,1,2.0,0.0,138.0,0.0,0.0,0
Alexander Isak,1497,11,2,8.0,6.5,5.0,65.0,887.0,0.0,43.0,8.0,0.0,172.0,96.0,26.0,4,3.0,65.0,1085.0,65.0,1.0,5
Alexander Sørloth,2192,11,0,11.2,11.2,4.0,72.0,515.0,2.0,19.0,1.0,0.0,257.0,127.0,13.0,2,3.0,72.0,1123.0,72.0,0.0,17
Alexis Mac Allister,2667,10,6,11.7,6.9,7.0,63.0,5798.0,1.0,161.0,13.0,7.0,869.0,611.0,140.0,22,22.0,63.0,2832.0,63.0,0.0,0
Alfonso Espino,2852,0,0,1.4,1.4,7.0,48.0,7282.0,18.0,99.0,4.0,1.0,525.0,532.0,268.0,42,52.0,48.0,1997.0,48.0,0.0,3
Alfonso Pedraza,1543,0,0,1.0,1.0,4.0,57.0,2337.0,7.0,29.0,0.0,0.0,366.0,267.0,73.0,15,19.0,57.0,2147.0,57.0,0.0,2
Allan Saint-Maximin,1029,1,0,1.6,1.6,9.0,89.0,1398.0,4.0,61.0,4.0,0.0,188.0,146.0,37.0,4,3.0,89.0,2229.0,89.0,0.0,1
Amadou Onana,2398,1,0,2.9000000000000004,2.9000000000000004,2.0,51.0,2822.0,0.0,71.0,5.0,0.0,468.0,344.0,82.0,35,23.0,51.0,1348.0,51.0,0.0,2
Ander Barrenetxea,756,3,0,2.4,2.4,1.0,53.0,1014.0,1.0,23.0,1.0,0.0,154.0,103.0,27.0,5,15.0,53.0,732.0,53.0,0.0,0
Ander Capa,109,0,0,0.0,0.0,0.0,3.0,441.0,1.0,12.0,0.0,0.0,35.0,37.0,12.0,0,1.0,3.0,193.0,3.0,0.0,0
